mRNA,SRR6408214,SRR6408215,SRR6408216
mRNA833,0,0,0
mRNA834,0,0,0
mRNA835,6,0,1
mRNA836,6,0,1
mRNA837,6,0,1
mRNA838,6,0,1
mRNA839,6,0,1
mRNA840,6,0,1
mRNA841,6,0,0
mRNA842,1809,4786,2914
mRNA843,1809,4786,2914
mRNA844,1809,4786,2914
mRNA845,0,291,0
mRNA846,0,142,0
mRNA847,0,291,0
mRNA848,0,291,0
mRNA849,180,633,1062
mRNA850,180,633,1062
mRNA851,180,633,1062
mRNA852,180,633,1062
mRNA853,180,633,1062
mRNA854,180,633,1062
mRNA855,180,633,1062
mRNA856,180,633,1062
mRNA857,4,0,1
mRNA858,4,0,1
mRNA859,4,0,1
mRNA860,4,0,1
mRNA861,4,0,1
mRNA862,4,0,1
mRNA863,4,0,1
mRNA864,4,0,1
mRNA865,4,0,1
mRNA866,4,0,1
mRNA867,4,0,1
mRNA868,4,0,1
mRNA869,3,0,1
mRNA870,3,0,1
mRNA871,3,0,0
mRNA872,3,0,0
mRNA873,0,0,0
mRNA874,0,0,0
mRNA875,0,0,0
mRNA876,0,0,0
mRNA877,0,0,0
mRNA878,0,0,0
mRNA879,0,0,0
mRNA880,20,0,5
mRNA881,20,0,5
mRNA882,0,0,0
mRNA883,0,0,0
mRNA884,65,210,218
mRNA885,928,0,1307
mRNA886,928,0,1307
mRNA887,10,0,83
mRNA888,10,0,83
mRNA889,10,0,83
mRNA890,10,0,83
mRNA891,10,0,83
mRNA892,10,0,83
mRNA893,10,0,83
mRNA894,31,1596,481
mRNA895,31,1596,481
mRNA896,28,1571,474
mRNA897,28,1565,474
mRNA898,2,0,0
mRNA899,2,0,0
mRNA900,2,0,0
mRNA901,1,0,0
mRNA902,1,0,1
mRNA903,1,0,1
mRNA904,1,0,1
mRNA905,1,0,1
mRNA906,1,0,1
mRNA907,1,0,1
mRNA908,240,1,73
mRNA909,240,1,73
mRNA910,1,1,7
mRNA911,1,1,7
mRNA912,1,1,7
mRNA913,0,1,1
mRNA914,0,1,1
mRNA915,50,0,0
mRNA916,50,0,0
mRNA917,50,0,0
mRNA918,0,0,0
mRNA919,0,0,0
mRNA920,0,0,0
mRNA921,0,0,0
mRNA922,0,0,0
mRNA923,0,0,0
mRNA924,0,0,0
mRNA925,0,0,0
mRNA926,5,0,12
mRNA927,0,0,0
mRNA928,0,0,0
mRNA929,0,1,0
mRNA930,0,0,0
mRNA931,0,0,0
mRNA932,1,2,9
mRNA933,0,1,0
mRNA934,0,0,0
mRNA935,0,0,0
mRNA936,0,0,0
mRNA937,0,0,0
mRNA938,0,0,0
mRNA939,0,0,0
mRNA940,0,1,0
mRNA941,0,0,0
mRNA942,0,0,0
mRNA943,0,0,0
mRNA944,0,0,0
mRNA945,0,0,0
mRNA946,0,0,0
mRNA947,0,1,0
mRNA948,0,0,0
mRNA949,0,0,0
mRNA950,0,0,0
mRNA951,0,0,0
mRNA952,0,0,1
mRNA953,0,0,0
mRNA954,0,0,0
mRNA955,0,0,0
mRNA956,0,0,0
mRNA957,0,0,0
mRNA958,0,0,0
mRNA959,0,0,0
mRNA960,0,0,0
mRNA961,118,331,8
mRNA962,118,331,8
mRNA963,118,331,8
mRNA964,118,331,8
mRNA965,118,331,4
mRNA966,113,331,8
mRNA967,113,331,4
mRNA968,105,331,3
mRNA969,105,331,7
mRNA970,105,331,3
mRNA971,104,331,5
mRNA972,104,331,5
mRNA973,0,331,4
mRNA974,74,1,24
mRNA975,74,1,24
mRNA976,74,1,24
mRNA977,74,1,22
mRNA978,74,1,14
mRNA979,74,1,14
mRNA980,72,0,17
mRNA981,72,0,15
mRNA982,72,0,15
mRNA983,72,0,15
mRNA984,70,0,11
mRNA985,69,0,13
mRNA986,69,0,11
mRNA987,62,0,13
mRNA988,62,0,11
mRNA989,62,0,11
mRNA990,62,0,12
mRNA991,62,0,10
mRNA992,231,31,119
mRNA993,231,31,119
mRNA994,231,31,119
mRNA995,231,31,119
mRNA996,231,31,119
mRNA997,231,31,119
mRNA998,231,31,119
mRNA999,229,28,115
mRNA1000,0,647,189
mRNA1001,0,647,192
mRNA1002,0,647,192
mRNA1003,0,647,192
mRNA1004,0,647,192
mRNA1005,0,647,192
mRNA1006,0,647,192
mRNA1007,0,647,192
mRNA1008,0,647,192
mRNA1009,0,647,192
mRNA1010,0,647,192
mRNA1011,0,647,189
mRNA1012,0,647,189
mRNA1013,0,647,189
mRNA1014,0,647,192
mRNA1015,0,647,192
mRNA1016,0,647,192
mRNA1017,0,647,192
mRNA1018,0,647,192
mRNA1019,0,647,192
mRNA1020,0,647,192
mRNA1021,0,647,192
mRNA1022,0,647,192
mRNA1023,0,647,192
mRNA1024,0,647,192
mRNA1025,0,647,192
mRNA1026,0,647,192
mRNA1027,0,647,192
mRNA1028,0,647,192
mRNA1029,0,647,192
mRNA1030,0,647,192
mRNA1031,0,647,192
mRNA1032,0,647,192
mRNA1033,0,647,192
mRNA1034,0,647,192
mRNA1035,0,647,192
mRNA1036,0,647,192
mRNA1037,0,647,191
mRNA1038,0,647,152
mRNA1039,0,578,125
mRNA1040,0,0,3
mRNA1041,297,34,1008
mRNA1042,297,34,1008
mRNA1043,0,0,0
mRNA1044,0,0,0
mRNA1045,0,3,9
mRNA1046,0,0,0
mRNA1047,0,0,70
mRNA1048,0,0,70
mRNA1049,0,0,70
mRNA1050,0,0,70
mRNA1051,0,0,9
mRNA1052,128,0,32
mRNA1053,128,0,32
mRNA1054,1,0,1
mRNA1055,47,0,17
mRNA1056,0,0,3
mRNA1057,79,85,608
mRNA1058,79,85,608
mRNA1059,79,85,608
mRNA1060,79,85,608
mRNA1061,19,17,450
mRNA1062,0,0,0
mRNA1063,0,0,0
mRNA1064,0,0,0
mRNA1065,0,0,0
mRNA1066,0,0,0
mRNA1067,1,0,0
mRNA1068,1,0,0
mRNA1069,1,0,0
mRNA1070,1,0,0
mRNA1071,1,0,0
mRNA1072,1,0,0
mRNA1073,2,0,0
mRNA1074,2,0,0
mRNA1075,2,0,0
mRNA1076,2,0,0
mRNA1077,1,0,0
mRNA1078,2,0,0
mRNA1079,2,0,0
mRNA1080,1,0,0
mRNA1081,1,0,0
mRNA1082,1,0,0
mRNA1083,1,0,0
mRNA1084,1,0,0
mRNA1085,2,0,0
mRNA1086,2,0,0
mRNA1087,0,0,0
mRNA1088,331,488,348
mRNA1089,271,3,150
mRNA1090,72,1,7
mRNA1091,72,1,7
mRNA1092,72,1,7
mRNA1093,72,1,7
mRNA1094,72,1,7
mRNA1095,63,0,6
mRNA1096,21,1,1
mRNA1097,21,1,1
mRNA1098,21,1,1
mRNA1099,21,1,1
mRNA1100,21,1,1
mRNA1101,21,1,1
mRNA1102,21,1,1
mRNA1103,0,0,0
mRNA1104,0,0,0
mRNA1105,0,0,0
mRNA1106,0,0,0
mRNA1107,0,0,0
mRNA1108,0,0,0
mRNA1109,0,0,0
mRNA1110,0,0,0
mRNA1111,0,0,0
mRNA1112,0,0,0
mRNA1113,0,0,0
mRNA1114,0,0,0
mRNA1115,0,0,0
mRNA1116,0,0,0
mRNA1117,0,0,0
mRNA1118,2,0,0
mRNA1119,2,0,0
mRNA1120,0,0,0
mRNA1121,0,356,38
mRNA1122,0,356,38
mRNA1123,0,0,0
mRNA1124,0,0,0
mRNA1125,1,734,727
mRNA1126,1,734,727
mRNA1127,1,714,660
mRNA1128,1,704,649
mRNA1129,119,579,371
mRNA1130,119,579,371
mRNA1131,84,414,74
mRNA1132,84,413,74
mRNA1133,2,1,0
mRNA1134,2,1,0
mRNA1135,2,1,0
mRNA1136,2,1,0
